"lat","long","start.date","end.date","SubsetID","Status"
-35.5877116734,148.815786396,2000,2014,1,"Successful download"
-35.5887365518,148.821153406,2000,2014,2,"Successful download"
-35.5851993684,148.798560095,2000,2014,3,"Successful download"
-35.5973231799,148.854118278,2000,2014,4,"Successful download"
-35.5975202306,148.813484946,2000,2014,5,"Successful download"
-35.6049943687,148.791740137,2000,2014,6,"Successful download"
-35.6050874188,148.823853753,2000,2014,7,"Successful download"
-35.6154912105,148.847565716,2000,2014,8,"Successful download"
-35.6182857101,148.803773084,2000,2014,9,"Successful download"
-35.6396159969,148.793885417,2000,2014,10,"Successful download"
-35.6321649358,148.825357985,2000,2014,11,"Successful download"
-35.6372458784,148.862343403,2000,2014,12,"Successful download"
-35.6479014445,148.825647514,2000,2014,13,"Successful download"
-35.6554952449,148.823407088,2000,2014,14,"Successful download"
-35.6622988536,148.810738578,2000,2014,15,"Successful download"
-35.658321266,148.844401516,2000,2014,16,"Successful download"
-35.6709033042,148.876955422,2000,2014,17,"Successful download"
-35.671788948,148.826339823,2000,2014,18,"Successful download"
-35.6836957053,148.843142942,2000,2014,19,"Successful download"
-35.6916598035,148.80755528,2000,2014,20,"Successful download"
-35.691566435,148.873131593,2000,2014,21,"Successful download"
-35.69986362,148.851423104,2000,2014,22,"Successful download"
-35.7188352157,148.860452434,2000,2014,23,"Successful download"
-35.7156256146,148.827908073,2000,2014,24,"Successful download"
-35.733048794,148.852743343,2000,2014,25,"Successful download"
