Subbasin,Lat,Long_
1,-35.58771167340,148.81578639600
2,-35.58873655180,148.82115340600
3,-35.58519936840,148.79856009500
4,-35.59732317990,148.85411827800
5,-35.59752023060,148.81348494600
6,-35.60499436870,148.79174013700
7,-35.60508741880,148.82385375300
8,-35.61549121050,148.84756571600
9,-35.61828571010,148.80377308400
10,-35.63961599690,148.79388541700
11,-35.63216493580,148.82535798500
12,-35.63724587840,148.86234340300
13,-35.64790144450,148.82564751400
14,-35.65549524490,148.82340708800
15,-35.66229885360,148.81073857800
16,-35.65832126600,148.84440151600
17,-35.67090330420,148.87695542200
18,-35.67178894800,148.82633982300
19,-35.68369570530,148.84314294200
20,-35.69165980350,148.80755528000
21,-35.69156643500,148.87313159300
22,-35.69986362000,148.85142310400
23,-35.71883521570,148.86045243400
24,-35.71562561460,148.82790807300
25,-35.73304879400,148.85274334300
