subbasin,Lat,Long_
1,-33.94108663490,-55.52862731990
2,-33.99233093450,-55.38489839540
3,-34.07930113390,-55.85482037120
4,-34.06349356720,-55.61462412870
5,-34.11523842510,-55.54161426690
6,-34.10315926090,-55.74922351260
7,-34.14464668570,-55.44817703010
8,-34.20002873620,-55.62182467640
9,-34.21917831600,-55.58060755710
10,-34.23144626430,-55.50399469290
11,-34.13769543360,-55.29377627050
12,-34.20300069090,-55.94381241410
13,-34.14538509630,-56.04291480760
14,-34.26957396190,-56.05764510490
15,-34.21152306900,-55.69551613930
16,-34.30304682950,-55.65359630950
17,-34.24174088540,-55.17196157710
18,-34.27751253540,-55.90065535940
19,-34.27636972880,-55.35528264190
20,-34.31684323070,-55.28079868750
21,-34.35287104770,-55.19616777410
22,-34.34739856490,-55.06283246920
23,-34.31096152370,-56.13222263500
24,-34.37619645970,-55.90951035730
25,-34.38477734880,-56.20730706060
26,-34.41994190430,-55.08322220250
27,-34.43760888010,-55.21666214620
